tehsil,max_magnitude,avg_magnitude,earthquake_count
Attok,4.7,4.475,4
Awaran,4.2,4.066666666666666,3
Barkhan,4.8,4.333333333333333,3
Battagram,5.0,5.0,2
Bolan,4.3,4.3,2
Chilas,5.2,4.4799999999999995,5
Chitral,4.4,4.266666666666667,3
Dadu,4.4,4.35,2
DeraBugti,4.6,4.55,2
DeraGhaziKha,4.5,4.3,6
Dir,4.5,4.366666666666667,3
Gilgit,4.5,4.4,4
Gujrat,4.1,4.1,1
Gwadar,4.9,4.633333333333334,3
Hangu,4.2,4.2,1
Islamabad,4.4,3.5,2
Jamshoro,4.2,4.033333333333333,3
Jhang,4.4,4.4,1
Jhelum,4.5,4.3,4
Kalat,4.6,4.275,4
Kargil,4.5,4.175,8
Kech,4.7,4.7,1
Kharan,5.6,4.720000000000001,5
Kholu,4.1,4.1,2
Khuzdar,5.2,4.3999999999999995,12
Kohat,4.7,4.5,2
Kupwara(GilgitWazarat),5.1,4.514285714285714,7
LarghaShirani,4.2,4.2,1
Larkana,4.0,4.0,1
Lasbela,4.8,4.699999999999999,2
Loralai,4.7,4.550000000000001,2
Mansehra,4.5,4.34,5
Mastung,4.3,4.3,1
Musakhel,4.3,4.3,2
Muzaffarabad,4.2,4.2,1
Muzaffargarh,4.8,4.8,1
N.Waziristan,4.8,4.4,4
Neelum,5.1,5.1,1
Orakzai,4.4,4.4,1
Pishin,4.7,4.125,4
QillaAbdullah,4.3,4.25,2
RajanPur,5.2,4.4,5
Rawalpindi,4.1,3.8499999999999996,2
S.Waziristan,4.5,4.5,2
Sargodha,3.4,3.4,1
Shangla,5.0,5.0,1
Sheikhupura,4.2,4.2,1
Sibi,5.9,4.65,8
Thatta,4.9,4.9,1
Vehari,4.3,4.3,1
Zhob,4.5,4.5,1
Ziarat,5.5,5.5,1
