province,district,tehsil,avg_rainfall,max_rainfall,avg_temperature,max_temperature,max_magnitude,avg_magnitude,earthquake_count
AzadKashmir,AzadKashmir,Bagh,4.0724429945054945,160.15,12.592140698587126,27.47,,,
AzadKashmir,AzadKashmir,Kotli,4.520077168367347,171.06,18.740544299450548,33.39,,,
AzadKashmir,AzadKashmir,Neelum,3.20112609563056,89.04,3.2470447409733127,23.37,5.1,5.1,1.0
Balochistan,Kalat,Awaran,0.8092626481150944,64.3,24.32981791789424,37.85,4.2,4.066666666666666,3.0
Balochistan,Kalat,DisputedArea1,1.2247892303391323,101.54,25.19551551041913,37.41,,,
Balochistan,Kalat,Kalat,1.3045858637448657,121.25,15.93734764306144,32.84,4.6,4.275,4.0
Balochistan,Kalat,Kharan,0.9694667196097165,269.19,21.133294152660312,39.84,5.6,4.720000000000001,5.0
Balochistan,Kalat,Khuzdar,1.5052184300184022,247.06,20.86153766892878,36.65,5.2,4.3999999999999995,12.0
Balochistan,Kalat,Lasbela,1.42765758800886,137.03,24.71524723930668,36.35,4.8,4.699999999999999,2.0
Balochistan,Kalat,Mastung,1.5356130405797725,466.31,14.571681248790348,31.06,4.3,4.3,1.0
Balochistan,Makran,Gwadar,0.5343130040214189,51.79,25.88240232038021,37.39,4.9,4.633333333333334,3.0
Balochistan,Makran,Kech,0.4414660992953557,41.46,25.020082620087024,38.93,4.7,4.7,1.0
Balochistan,Makran,Panjgur,0.6103448005726452,48.36,21.509382641540732,36.13,,,
Balochistan,Nasirabad,Bolan,1.7592296438069432,312.42,24.40781540540347,40.81,4.3,4.3,2.0
Balochistan,Nasirabad,Jafarabad,2.4005626008042835,517.62,26.98032974559687,40.76,,,
Balochistan,Nasirabad,JhalMagsi,2.0844096632330484,300.3,25.594465903959055,40.68,,,
Balochistan,Nasirabad,Nasirabad,2.359429281090729,457.02,26.577730306875118,42.0,,,
Balochistan,Quetta,Chagai,0.9528091080478556,323.49,20.71988113875687,40.38,,,
Balochistan,Quetta,Pishin,1.9319679405416013,563.67,12.589440844126113,31.16,4.7,4.125,4.0
Balochistan,Quetta,QillaAbdullah,2.0086563154107795,563.62,13.49626617281528,30.62,4.3,4.25,2.0
Balochistan,Sibi,DeraBugti,2.02434658932066,356.79,24.011972505967613,38.43,4.6,4.55,2.0
Balochistan,Sibi,Kholu,1.8564984086363736,153.1,20.336441302337583,37.42,4.1,4.1,2.0
Balochistan,Sibi,Sibi,1.6898247600410026,285.82,20.803362307620624,39.87,5.9,4.65,8.0
Balochistan,Sibi,Ziarat,1.7979833038984823,440.72,12.516070954343276,28.61,5.5,5.5,1.0
Balochistan,Zhob,Loralai,1.7778454848417238,229.31,16.583066072447814,35.66,4.7,4.550000000000001,2.0
Balochistan,Zhob,Musakhel,1.7904988880167452,344.09,19.08039632391418,35.41,4.3,4.3,2.0
Balochistan,Zhob,QillaSaifullah,1.8295665799973835,329.01,13.643249983647305,30.74,,,
