LAT,LON,YEAR,DOY,PRECTOTCORR
30,65,2022,121,0
30,65.625,2022,121,0
30,66.25,2022,121,0
30,66.875,2022,121,0
30,67.5,2022,121,0
30,68.125,2022,121,0
30,68.75,2022,121,0
30,69.375,2022,121,0
30,70,2022,121,0
30,70.625,2022,121,0
30,71.25,2022,121,0
30,71.875,2022,121,0
30,72.5,2022,121,0
30,73.125,2022,121,0
30,73.75,2022,121,0
30,74.375,2022,121,0
30,75,2022,121,0
30.5,65,2022,121,0
30.5,65.625,2022,121,0
30.5,66.25,2022,121,0
30.5,66.875,2022,121,0
30.5,67.5,2022,121,0
30.5,68.125,2022,121,0
30.5,68.75,2022,121,0
30.5,69.375,2022,121,0
30.5,70,2022,121,0
30.5,70.625,2022,121,0
30.5,71.25,2022,121,0
30.5,71.875,2022,121,0
30.5,72.5,2022,121,0
30.5,73.125,2022,121,0
30.5,73.75,2022,121,0
30.5,74.375,2022,121,0
30.5,75,2022,121,0
31,65,2022,121,0
31,65.625,2022,121,0
31,66.25,2022,121,0
31,66.875,2022,121,0
31,67.5,2022,121,0
31,68.125,2022,121,0
31,68.75,2022,121,0
31,69.375,2022,121,0
31,70,2022,121,0
31,70.625,2022,121,0
31,71.25,2022,121,0
31,71.875,2022,121,0
31,72.5,2022,121,0
31,73.125,2022,121,0
31,73.75,2022,121,0
31,74.375,2022,121,0
31,75,2022,121,0
31.5,65,2022,121,0
31.5,65.625,2022,121,0
31.5,66.25,2022,121,0
31.5,66.875,2022,121,0
31.5,67.5,2022,121,0
31.5,68.125,2022,121,0
31.5,68.75,2022,121,0
31.5,69.375,2022,121,0
31.5,70,2022,121,0
31.5,70.625,2022,121,0
31.5,71.25,2022,121,0
31.5,71.875,2022,121,0
31.5,72.5,2022,121,0
31.5,73.125,2022,121,0
31.5,73.75,2022,121,0
31.5,74.375,2022,121,0
31.5,75,2022,121,0
32,65,2022,121,0
32,65.625,2022,121,0
32,66.25,2022,121,0
32,66.875,2022,121,0
32,67.5,2022,121,0
32,68.125,2022,121,0
32,68.75,2022,121,0
32,69.375,2022,121,0
32,70,2022,121,0
32,70.625,2022,121,0
32,71.25,2022,121,0
32,71.875,2022,121,0
32,72.5,2022,121,0
32,73.125,2022,121,0
32,73.75,2022,121,0
32,74.375,2022,121,0
32,75,2022,121,0
32.5,65,2022,121,0
32.5,65.625,2022,121,0
32.5,66.25,2022,121,0
32.5,66.875,2022,121,0
32.5,67.5,2022,121,0
32.5,68.125,2022,121,0
32.5,68.75,2022,121,0
32.5,69.375,2022,121,0
32.5,70,2022,121,0
32.5,70.625,2022,121,0
32.5,71.25,2022,121,0
32.5,71.875,2022,121,0
32.5,72.5,2022,121,0
32.5,73.125,2022,121,0
32.5,73.75,2022,121,0
32.5,74.375,2022,121,0
32.5,75,2022,121,0
33,65,2022,121,0
33,65.625,2022,121,0
33,66.25,2022,121,0
33,66.875,2022,121,0
33,67.5,2022,121,0
33,68.125,2022,121,0
33,68.75,2022,121,0
33,69.375,2022,121,0
33,70,2022,121,0
33,70.625,2022,121,0
33,71.25,2022,121,0
33,71.875,2022,121,0
33,72.5,2022,121,0
33,73.125,2022,121,0
33,73.75,2022,121,0
33,74.375,2022,121,0
33,75,2022,121,0
33.5,65,2022,121,0
33.5,65.625,2022,121,0
33.5,66.25,2022,121,0
33.5,66.875,2022,121,0
33.5,67.5,2022,121,0
33.5,68.125,2022,121,0
33.5,68.75,2022,121,0
33.5,69.375,2022,121,0
33.5,70,2022,121,0
33.5,70.625,2022,121,0
33.5,71.25,2022,121,0
33.5,71.875,2022,121,0
33.5,72.5,2022,121,0
33.5,73.125,2022,121,0
33.5,73.75,2022,121,0
33.5,74.375,2022,121,0
33.5,75,2022,121,0
34,65,2022,121,0
34,65.625,2022,121,0
34,66.25,2022,121,0
34,66.875,2022,121,0
34,67.5,2022,121,0
34,68.125,2022,121,0
34,68.75,2022,121,0
34,69.375,2022,121,0
34,70,2022,121,0
34,70.625,2022,121,0
34,71.25,2022,121,0
34,71.875,2022,121,0
34,72.5,2022,121,0
34,73.125,2022,121,0
34,73.75,2022,121,0
34,74.375,2022,121,0
34,75,2022,121,0
34.5,65,2022,121,0
34.5,65.625,2022,121,0
34.5,66.25,2022,121,0
34.5,66.875,2022,121,0
34.5,67.5,2022,121,0
34.5,68.125,2022,121,0
34.5,68.75,2022,121,0
34.5,69.375,2022,121,0
34.5,70,2022,121,0
34.5,70.625,2022,121,0
34.5,71.25,2022,121,0
34.5,71.875,2022,121,0
34.5,72.5,2022,121,0
34.5,73.125,2022,121,0
34.5,73.75,2022,121,0
34.5,74.375,2022,121,0
34.5,75,2022,121,0
35,65,2022,121,0
35,65.625,2022,121,0
35,66.25,2022,121,0
35,66.875,2022,121,0
35,67.5,2022,121,0
35,68.125,2022,121,0
35,68.75,2022,121,0
35,69.375,2022,121,0
35,70,2022,121,0
35,70.625,2022,121,0
35,71.25,2022,121,0
35,71.875,2022,121,0
35,72.5,2022,121,0
35,73.125,2022,121,0
35,73.75,2022,121,0
35,74.375,2022,121,0
35,75,2022,121,0
35.5,65,2022,121,0
35.5,65.625,2022,121,0
35.5,66.25,2022,121,0
35.5,66.875,2022,121,0
35.5,67.5,2022,121,0
35.5,68.125,2022,121,0
35.5,68.75,2022,121,0
35.5,69.375,2022,121,0
35.5,70,2022,121,0
35.5,70.625,2022,121,0
35.5,71.25,2022,121,0
35.5,71.875,2022,121,0
35.5,72.5,2022,121,0
35.5,73.125,2022,121,0
35.5,73.75,2022,121,0
35.5,74.375,2022,121,0
35.5,75,2022,121,0
36,65,2022,121,0
36,65.625,2022,121,0
36,66.25,2022,121,0
36,66.875,2022,121,0
36,67.5,2022,121,0
36,68.125,2022,121,0
