LAT,LON,YEAR,DOY,T2M
30,65,2022,121,30.55
30,65.625,2022,121,29.55
30,66.25,2022,121,27.62
30,66.875,2022,121,24.28
30,67.5,2022,121,29.63
30,68.125,2022,121,31.77
30,68.75,2022,121,30.72
30,69.375,2022,121,29.91
30,70,2022,121,32.79
30,70.625,2022,121,38.06
30,71.25,2022,121,38.71
30,71.875,2022,121,38.51
30,72.5,2022,121,38.4
30,73.125,2022,121,38.35
30,73.75,2022,121,37.63
30,74.375,2022,121,37.25
30,75,2022,121,36.87
30.5,65,2022,121,29.6
30.5,65.625,2022,121,28.57
30.5,66.25,2022,121,27.09
30.5,66.875,2022,121,23.58
30.5,67.5,2022,121,22.3
30.5,68.125,2022,121,24.77
30.5,68.75,2022,121,28.12
30.5,69.375,2022,121,29.08
30.5,70,2022,121,31.56
30.5,70.625,2022,121,36.38
30.5,71.25,2022,121,37.93
30.5,71.875,2022,121,37.9
30.5,72.5,2022,121,37.91
30.5,73.125,2022,121,37.65
30.5,73.75,2022,121,37.16
30.5,74.375,2022,121,37.02
30.5,75,2022,121,36.65
31,65,2022,121,28.83
31,65.625,2022,121,28.06
31,66.25,2022,121,27.05
31,66.875,2022,121,23.22
31,67.5,2022,121,20.2
31,68.125,2022,121,23.46
31,68.75,2022,121,25.98
31,69.375,2022,121,26.86
31,70,2022,121,30.12
31,70.625,2022,121,36.22
31,71.25,2022,121,37.3
31,71.875,2022,121,37.45
31,72.5,2022,121,37.65
31,73.125,2022,121,37.32
31,73.75,2022,121,36.93
31,74.375,2022,121,36.75
31,75,2022,121,36.17
31.5,65,2022,121,29.26
31.5,65.625,2022,121,28.94
31.5,66.25,2022,121,27.45
31.5,66.875,2022,121,24.08
31.5,67.5,2022,121,21.16
31.5,68.125,2022,121,21.69
31.5,68.75,2022,121,24.4
31.5,69.375,2022,121,26.68
31.5,70,2022,121,29.54
31.5,70.625,2022,121,36.47
31.5,71.25,2022,121,36.89
31.5,71.875,2022,121,36.7
31.5,72.5,2022,121,37.2
31.5,73.125,2022,121,36.82
31.5,73.75,2022,121,36.62
31.5,74.375,2022,121,36.69
31.5,75,2022,121,36.15
32,65,2022,121,28.82
32,65.625,2022,121,25.97
32,66.25,2022,121,26.05
32,66.875,2022,121,23.73
32,67.5,2022,121,21.37
32,68.125,2022,121,20.65
32,68.75,2022,121,23.19
32,69.375,2022,121,27.28
32,70,2022,121,31.91
32,70.625,2022,121,36.38
32,71.25,2022,121,36.65
32,71.875,2022,121,36.62
32,72.5,2022,121,36.98
32,73.125,2022,121,36.34
32,73.75,2022,121,36.35
32,74.375,2022,121,36.54
32,75,2022,121,36.34
32.5,65,2022,121,27.31
32.5,65.625,2022,121,25.06
32.5,66.25,2022,121,21.59
32.5,66.875,2022,121,20.33
32.5,67.5,2022,121,20.66
32.5,68.125,2022,121,19.83
32.5,68.75,2022,121,20.21
32.5,69.375,2022,121,23.51
