LAT,LON,YEAR,DOY,T2M
23,60,2021,121,29.66
23,60.625,2021,121,28.72
23,61.25,2021,121,28.32
23,61.875,2021,121,28.44
23,62.5,2021,121,28.48
23,63.125,2021,121,28.57
23,63.75,2021,121,28.6
23,64.375,2021,121,28.63
23,65,2021,121,28.86
23,65.625,2021,121,28.93
23,66.25,2021,121,29.02
23,66.875,2021,121,29.11
23,67.5,2021,121,29.08
23,68.125,2021,121,28.95
23,68.75,2021,121,30.02
23,69.375,2021,121,31.17
23,70,2021,121,32.49
23.5,60,2021,121,29.74
23.5,60.625,2021,121,29.18
23.5,61.25,2021,121,28.66
23.5,61.875,2021,121,28.56
23.5,62.5,2021,121,28.62
23.5,63.125,2021,121,28.72
23.5,63.75,2021,121,28.78
23.5,64.375,2021,121,28.84
23.5,65,2021,121,29.01
23.5,65.625,2021,121,29.1
23.5,66.25,2021,121,29.16
23.5,66.875,2021,121,29.21
23.5,67.5,2021,121,29.27
23.5,68.125,2021,121,29.47
23.5,68.75,2021,121,30.73
23.5,69.375,2021,121,31.84
23.5,70,2021,121,33.3
24,60,2021,121,29.65
24,60.625,2021,121,29.41
24,61.25,2021,121,28.95
24,61.875,2021,121,28.78
24,62.5,2021,121,28.8
24,63.125,2021,121,28.98
24,63.75,2021,121,29.05
24,64.375,2021,121,29.09
24,65,2021,121,29.13
24,65.625,2021,121,29.1
24,66.25,2021,121,29.13
24,66.875,2021,121,29.1
24,67.5,2021,121,29.85
24,68.125,2021,121,30.75
24,68.75,2021,121,31.38
24,69.375,2021,121,32.08
24,70,2021,121,33.09
24.5,60,2021,121,29.37
24.5,60.625,2021,121,29.28
24.5,61.25,2021,121,29.08
24.5,61.875,2021,121,29.03
24.5,62.5,2021,121,29.15
24.5,63.125,2021,121,29.34
24.5,63.75,2021,121,29.32
24.5,64.375,2021,121,29.24
24.5,65,2021,121,29.14
24.5,65.625,2021,121,29
24.5,66.25,2021,121,28.95
24.5,66.875,2021,121,28.96
24.5,67.5,2021,121,29.95
24.5,68.125,2021,121,31.07
24.5,68.75,2021,121,31.54
24.5,69.375,2021,121,32.03
24.5,70,2021,121,32.68
25,60,2021,121,29.04
25,60.625,2021,121,29.21
25,61.25,2021,121,29.56
25,61.875,2021,121,29.45
25,62.5,2021,121,29.52
25,63.125,2021,121,29.6
25,63.75,2021,121,29.52
25,64.375,2021,121,29.57
25,65,2021,121,29.24
25,65.625,2021,121,29.13
25,66.25,2021,121,29.09
25,66.875,2021,121,29.16
25,67.5,2021,121,29.7
25,68.125,2021,121,31.22
25,68.75,2021,121,32.15
25,69.375,2021,121,32.65
25,70,2021,121,32.78
25.5,60,2021,121,30.14
25.5,60.625,2021,121,29.98
25.5,61.25,2021,121,30.59
25.5,61.875,2021,121,30.4
25.5,62.5,2021,121,30.29
25.5,63.125,2021,121,30.98
25.5,63.75,2021,121,30.95
25.5,64.375,2021,121,30.53
25.5,65,2021,121,30.26
25.5,65.625,2021,121,30.32
25.5,66.25,2021,121,30.45
25.5,66.875,2021,121,30.1
25.5,67.5,2021,121,29.93
25.5,68.125,2021,121,31.9
25.5,68.75,2021,121,32.9
25.5,69.375,2021,121,33.65
25.5,70,2021,121,33.65
26,60,2021,121,29.41
26,60.625,2021,121,28.41
26,61.25,2021,121,29.06
26,61.875,2021,121,30.02
26,62.5,2021,121,30.32
26,63.125,2021,121,29.98
26,63.75,2021,121,28.6
26,64.375,2021,121,28.57
26,65,2021,121,29.9
26,65.625,2021,121,31.25
26,66.25,2021,121,31.58
26,66.875,2021,121,30.73
26,67.5,2021,121,29.94
26,68.125,2021,121,32.63
26,68.75,2021,121,33.08
26,69.375,2021,121,33.93
26,70,2021,121,34.18
26.5,60,2021,121,23.74
26.5,60.625,2021,121,22.89
26.5,61.25,2021,121,23.93
26.5,61.875,2021,121,26.08
26.5,62.5,2021,121,27.12
26.5,63.125,2021,121,26.8
26.5,63.75,2021,121,26.51
26.5,64.375,2021,121,25.79
26.5,65,2021,121,27.36
26.5,65.625,2021,121,29.64
26.5,66.25,2021,121,29.58
26.5,66.875,2021,121,29.93
26.5,67.5,2021,121,32.57
26.5,68.125,2021,121,33.29
26.5,68.75,2021,121,33.65
26.5,69.375,2021,121,34.1
26.5,70,2021,121,34.54
27,60,2021,121,26.52
27,60.625,2021,121,24.81
27,61.25,2021,121,20.67
27,61.875,2021,121,22.26
27,62.5,2021,121,24.15
27,63.125,2021,121,24.9
27,63.75,2021,121,25.25
27,64.375,2021,121,24.38
27,65,2021,121,24.77
27,65.625,2021,121,25.9
27,66.25,2021,121,26.17
27,66.875,2021,121,28.1
27,67.5,2021,121,33.86
27,68.125,2021,121,34.3
27,68.75,2021,121,34.08
27,69.375,2021,121,34.82
27,70,2021,121,34.83
27.5,60,2021,121,26.65
27.5,60.625,2021,121,23.99
27.5,61.25,2021,121,19.11
27.5,61.875,2021,121,20.81
27.5,62.5,2021,121,23.65
27.5,63.125,2021,121,25.92
27.5,63.75,2021,121,27.53
27.5,64.375,2021,121,27.08
27.5,65,2021,121,24.64
27.5,65.625,2021,121,22.87
27.5,66.25,2021,121,24.14
27.5,66.875,2021,121,26.25
27.5,67.5,2021,121,33.88
27.5,68.125,2021,121,35.44
27.5,68.75,2021,121,35.13
27.5,69.375,2021,121,35.32
27.5,70,2021,121,35.33
28,60,2021,121,21.55
28,60.625,2021,121,19.5
28,61.25,2021,121,19.38
28,61.875,2021,121,20.36
28,62.5,2021,121,25.13
28,63.125,2021,121,28.72
28,63.75,2021,121,29.34
28,64.375,2021,121,28.95
28,65,2021,121,27.62
28,65.625,2021,121,24.29
28,66.25,2021,121,22.79
28,66.875,2021,121,25.43
28,67.5,2021,121,33.7
28,68.125,2021,121,35.55
28,68.75,2021,121,35.4
28,69.375,2021,121,35.72
28,70,2021,121,35.62
28.5,60,2021,121,22.38
28.5,60.625,2021,121,18.26
28.5,61.25,2021,121,17.67
28.5,61.875,2021,121,22.91
28.5,62.5,2021,121,26.85
28.5,63.125,2021,121,28.71
28.5,63.75,2021,121,28.63
28.5,64.375,2021,121,26.76
28.5,65,2021,121,26.64
28.5,65.625,2021,121,26.33
28.5,66.25,2021,121,20.7
28.5,66.875,2021,121,23.9
28.5,67.5,2021,121,34.12
28.5,68.125,2021,121,35.68
28.5,68.75,2021,121,35.62
28.5,69.375,2021,121,35.63
28.5,70,2021,121,35.68
29,60,2021,121,22.16
29,60.625,2021,121,17.01
29,61.25,2021,121,19.56
29,61.875,2021,121,23.8
29,62.5,2021,121,25.28
29,63.125,2021,121,26.13
29,63.75,2021,121,26
29,64.375,2021,121,26.78
29,65,2021,121,26.68
29,65.625,2021,121,25.96
29,66.25,2021,121,20.32
29,66.875,2021,121,20.88
29,67.5,2021,121,32.73
29,68.125,2021,121,35.08
29,68.75,2021,121,33.47
29,69.375,2021,121,32.71
29,70,2021,121,34.33
29.5,60,2021,121,20.94
29.5,60.625,2021,121,17.77
29.5,61.25,2021,121,20.58
29.5,61.875,2021,121,25.73
29.5,62.5,2021,121,25.62
29.5,63.125,2021,121,23.96
29.5,63.75,2021,121,22.27
29.5,64.375,2021,121,22.88
29.5,65,2021,121,26.48
29.5,65.625,2021,121,26.09
29.5,66.25,2021,121,22.14
29.5,66.875,2021,121,20.24
29.5,67.5,2021,121,30.63
29.5,68.125,2021,121,33.53
29.5,68.75,2021,121,29.79
29.5,69.375,2021,121,29.92
29.5,70,2021,121,32.56
30,60,2021,121,19.92
30,60.625,2021,121,19.81
30,61.25,2021,121,25.51
30,61.875,2021,121,26.38
30,62.5,2021,121,27.2
30,63.125,2021,121,26.3
30,63.75,2021,121,24.98
30,64.375,2021,121,24.96
30,65,2021,121,25.51
30,65.625,2021,121,25.51
30,66.25,2021,121,23.41
30,66.875,2021,121,20.44
30,67.5,2021,121,25.49
30,68.125,2021,121,27.63
30,68.75,2021,121,27.06
30,69.375,2021,121,26.11
30,70,2021,121,28.52
23,60,2021,122,29.66
23,60.625,2021,122,28.62
23,61.25,2021,122,28.44
23,61.875,2021,122,28.53
23,62.5,2021,122,28.57
23,63.125,2021,122,28.65
23,63.75,2021,122,28.67
23,64.375,2021,122,28.67
23,65,2021,122,28.69
23,65.625,2021,122,28.66
23,66.25,2021,122,28.64
23,66.875,2021,122,28.74
23,67.5,2021,122,28.9
23,68.125,2021,122,29.05
23,68.75,2021,122,30.18
23,69.375,2021,122,31.13
23,70,2021,122,32.04
23.5,60,2021,122,29.61
23.5,60.625,2021,122,28.95
23.5,61.25,2021,122,28.63
23.5,61.875,2021,122,28.67
23.5,62.5,2021,122,28.68
23.5,63.125,2021,122,28.65
23.5,63.75,2021,122,28.64
23.5,64.375,2021,122,28.66
23.5,65,2021,122,28.64
23.5,65.625,2021,122,28.6
23.5,66.25,2021,122,28.65
23.5,66.875,2021,122,28.83
23.5,67.5,2021,122,29.06
23.5,68.125,2021,122,29.67
23.5,68.75,2021,122,31.33
23.5,69.375,2021,122,32.01
23.5,70,2021,122,32.88
24,60,2021,122,29.51
24,60.625,2021,122,29.26
24,61.25,2021,122,28.92
24,61.875,2021,122,28.82
24,62.5,2021,122,28.78
24,63.125,2021,122,28.72
24,63.75,2021,122,28.59
24,64.375,2021,122,28.6
24,65,2021,122,28.65
24,65.625,2021,122,28.64
24,66.25,2021,122,28.79
24,66.875,2021,122,29.01
24,67.5,2021,122,30.19
24,68.125,2021,122,31.32
24,68.75,2021,122,32.23
24,69.375,2021,122,32.68
24,70,2021,122,33.16
24.5,60,2021,122,29.34
24.5,60.625,2021,122,29.32
24.5,61.25,2021,122,29.07
24.5,61.875,2021,122,28.96
24.5,62.5,2021,122,28.85
24.5,63.125,2021,122,28.78
24.5,63.75,2021,122,28.66
24.5,64.375,2021,122,28.64
24.5,65,2021,122,28.75
24.5,65.625,2021,122,28.78
24.5,66.25,2021,122,28.92
24.5,66.875,2021,122,29.21
24.5,67.5,2021,122,30.59
24.5,68.125,2021,122,31.83
24.5,68.75,2021,122,32.28
24.5,69.375,2021,122,32.6
24.5,70,2021,122,32.86
25,60,2021,122,29.18
25,60.625,2021,122,29.36
25,61.25,2021,122,29.56
25,61.875,2021,122,29.36
25,62.5,2021,122,28.93
25,63.125,2021,122,28.75
25,63.75,2021,122,28.72
25,64.375,2021,122,28.93
25,65,2021,122,28.99
25,65.625,2021,122,29.02
25,66.25,2021,122,29.18
25,66.875,2021,122,29.47
25,67.5,2021,122,29.94
25,68.125,2021,122,31.36
25,68.75,2021,122,32.38
25,69.375,2021,122,32.77
25,70,2021,122,32.67
25.5,60,2021,122,30.83
25.5,60.625,2021,122,30.38
25.5,61.25,2021,122,30.44
25.5,61.875,2021,122,30.17
25.5,62.5,2021,122,29.71
25.5,63.125,2021,122,29.75
25.5,63.75,2021,122,29.46
25.5,64.375,2021,122,29.43
25.5,65,2021,122,29.46
25.5,65.625,2021,122,29.53
25.5,66.25,2021,122,29.92
25.5,66.875,2021,122,29.51
25.5,67.5,2021,122,29.27
25.5,68.125,2021,122,31.46
25.5,68.75,2021,122,32.42
25.5,69.375,2021,122,33.13
25.5,70,2021,122,33.14
26,60,2021,122,28.61
26,60.625,2021,122,27.8
26,61.25,2021,122,28.06
26,61.875,2021,122,28.77
26,62.5,2021,122,29.19
26,63.125,2021,122,28.81
26,63.75,2021,122,27.3
26,64.375,2021,122,27.56
26,65,2021,122,29.05
26,65.625,2021,122,29.89
26,66.25,2021,122,30.17
26,66.875,2021,122,29.5
26,67.5,2021,122,28.82
26,68.125,2021,122,32.06
26,68.75,2021,122,32.68
26,69.375,2021,122,33.4
26,70,2021,122,33.5
26.5,60,2021,122,22.46
26.5,60.625,2021,122,22.17
26.5,61.25,2021,122,22.6
26.5,61.875,2021,122,23.86
26.5,62.5,2021,122,25.15
26.5,63.125,2021,122,25.53
26.5,63.75,2021,122,25.98
26.5,64.375,2021,122,25.28
26.5,65,2021,122,26.46
26.5,65.625,2021,122,28.3
26.5,66.25,2021,122,28.23
26.5,66.875,2021,122,28.57
26.5,67.5,2021,122,31.62
26.5,68.125,2021,122,33.03
26.5,68.75,2021,122,33.49
26.5,69.375,2021,122,33.68
26.5,70,2021,122,33.84
27,60,2021,122,25.44
27,60.625,2021,122,23.68
27,61.25,2021,122,19.72
27,61.875,2021,122,20.25
27,62.5,2021,122,22.28
27,63.125,2021,122,23.97
27,63.75,2021,122,24.77
27,64.375,2021,122,23.78
27,65,2021,122,24.1
27,65.625,2021,122,24.88
27,66.25,2021,122,24.75
27,66.875,2021,122,26.29
27,67.5,2021,122,32.8
27,68.125,2021,122,33.96
27,68.75,2021,122,33.53
27,69.375,2021,122,33.99
27,70,2021,122,34.18
27.5,60,2021,122,24.8
27.5,60.625,2021,122,21.94
27.5,61.25,2021,122,18.19
27.5,61.875,2021,122,19.66
27.5,62.5,2021,122,22.91
27.5,63.125,2021,122,25.73
27.5,63.75,2021,122,27.24
27.5,64.375,2021,122,26.94
27.5,65,2021,122,24.26
27.5,65.625,2021,122,21.89
27.5,66.25,2021,122,21.89
27.5,66.875,2021,122,23.52
27.5,67.5,2021,122,31.59
27.5,68.125,2021,122,33.92
27.5,68.75,2021,122,33.93
27.5,69.375,2021,122,33.66
27.5,70,2021,122,33.54
28,60,2021,122,20.08
28,60.625,2021,122,17.93
28,61.25,2021,122,17.98
28,61.875,2021,122,20.16
28,62.5,2021,122,25.55
28,63.125,2021,122,29.07
28,63.75,2021,122,29.25
28,64.375,2021,122,28.74
28,65,2021,122,27.2
28,65.625,2021,122,22.76
28,66.25,2021,122,20.21
28,66.875,2021,122,22.69
28,67.5,2021,122,30.49
28,68.125,2021,122,33.49
28,68.75,2021,122,34.08
28,69.375,2021,122,33.8
28,70,2021,122,33.39
28.5,60,2021,122,20.85
28.5,60.625,2021,122,16.6
28.5,61.25,2021,122,16.94
28.5,61.875,2021,122,23.7
28.5,62.5,2021,122,27.78
28.5,63.125,2021,122,29.04
28.5,63.75,2021,122,28.16
28.5,64.375,2021,122,25.93
28.5,65,2021,122,25.7
28.5,65.625,2021,122,24.34
28.5,66.25,2021,122,18.3
28.5,66.875,2021,122,21.1
28.5,67.5,2021,122,30.79
28.5,68.125,2021,122,33.64
28.5,68.75,2021,122,34.3
28.5,69.375,2021,122,33.71
28.5,70,2021,122,33.58
29,60,2021,122,20.83
29,60.625,2021,122,16.02
29,61.25,2021,122,20.01
29,61.875,2021,122,25.22
29,62.5,2021,122,26.24
29,63.125,2021,122,26.26
29,63.75,2021,122,25.28
29,64.375,2021,122,25.54
29,65,2021,122,25.26
29,65.625,2021,122,24.15
29,66.25,2021,122,18.56
29,66.875,2021,122,18.66
29,67.5,2021,122,30.12
29,68.125,2021,122,33.07
29,68.75,2021,122,31.59
29,69.375,2021,122,30.72
29,70,2021,122,32.7
29.5,60,2021,122,19.94
29.5,60.625,2021,122,17.32
29.5,61.25,2021,122,22.22
29.5,61.875,2021,122,27.48
29.5,62.5,2021,122,26.38
29.5,63.125,2021,122,23.86
29.5,63.75,2021,122,21.61
29.5,64.375,2021,122,21.95
29.5,65,2021,122,24.93
29.5,65.625,2021,122,24.39
29.5,66.25,2021,122,20.85
29.5,66.875,2021,122,18.6
29.5,67.5,2021,122,28.41
29.5,68.125,2021,122,31.67
29.5,68.75,2021,122,27.7
29.5,69.375,2021,122,28.06
29.5,70,2021,122,31.35
30,60,2021,122,19.64
30,60.625,2021,122,20.49
30,61.25,2021,122,27.49
30,61.875,2021,122,27.96
30,62.5,2021,122,27.52
30,63.125,2021,122,25.88
30,63.75,2021,122,24.44
30,64.375,2021,122,24.53
30,65,2021,122,24.45
30,65.625,2021,122,24.17
30,66.25,2021,122,22.19
30,66.875,2021,122,18.5
30,67.5,2021,122,23.29
30,68.125,2021,122,25.83
30,68.75,2021,122,25.73
30,69.375,2021,122,24.98
30,70,2021,122,27.72
23,60,2021,123,29.64
